,Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,IRGC_Number,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Unnamed: 8,Genetic_Stock_Accno,Genetic_stock_Designation(varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,acc_date,acc_id_seed_donor_number,acc_id_seq_num,alkali_tolerance,altitude,apiculus_color,apiculus_color_post_harv,auricle_color,awn_color,awn_presence,bacterial_blight,basal_color,blade_color,blade_pub,blast,cold_tolerance,collar_color,collection_number,culm_angle,culm_diam,culm_length,culm_num,culm_strength,cultural_type,days_to_flower,days_to_head,days_to_mat,days_to_maturity,district,donor_country,drought_1,drought_2,drought_3,drought_4,drought_5,drought_6,drought_7,drought_8,drought_9,elogation,endosperm_color,endosperm_type,fao_in_trust,flag_leaf_angle,flat_leaf_angle,flood_tolerance,grain_len,grain_wid,internode_color,latitude,leaf_angle,leaf_length,leaf_senescence,leaf_texture,leaf_width,lemma_and_palea_color,lemma_and_palea_pub,lemma_color,lemma_color_at_anthesis,ligule_color,ligule_shape,lingule_pub,longitude,multilateral_system,node_color,panicle,panicle_axis,panicle_exerion,panicle_shattering,panicle_thesability,pedigree,previous_name,province,rice_blast,salt_tolerance,seat_coat_color,secondary_branching,seed_coat_color,seedling_height,sheath_blight,source_country,special_traits,species_name,spikelet_fertility,status,stigma_color,subpopulation,town,tungro_virus,varietal_group,variety_group_from_morph,variety_name,village,zinc_def_1
615,116,IRRI,IRIS 313-8745,SD 120 SELN (CI 12320)::IRGC 1667-1-1,IRGC 1667,1667.0,SD120 SELN (CI 12320),,HAITI,Haiti,IRGC 126087,SD 120 SELN (CI 12320)::IRGC 1667-1,70489296.0,70489296.0,14.6,Indica,,CI 9219-3,1.0,X,,X,X,Light green,010,010,,Green,Green,Pubescent,Moderately resistant,X,Green,,Erect (1),2,2,82,5,,X,,112,112,,UNITED STATES,3,5,X,6,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,9,X,9,3,1,18,,111-130 cm,1,,2,020,X,2,Strong(no lodging),Whitish,,Green,-73,Yes,,1,000,0,X,1,,,,,X,010,X,Moderately resistant,Short (,Moderately susceptible,HAITI,,O. sativa,3,,3,A,,0,Japonica,,SD120 SELN (CI 12320),,X
616,1708,IRRI,IRIS 313-10614,HAM MOON::IRGC 9135-1,IRGC 9135,9135.0,HAM MOON,,HONG KONG,Hong Kong,IRGC 128049,HAM MOON::IRGC 9135-2,,,,Indica,,,,X,,X,X,Light green,010,010,Moderately resistant,Green,Green,Pubescent,Moderately resistant,X,Green,,Erect (1),1,2,101,1,,X,,131,131,,HONG KONG,1,3,5,6,X,7,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,X,9,X,8,3,1,22,,111-130 cm,9,,2,020,X,2,Strong(no lodging),Whitish,,Green,114,Yes,,1,020,5,X,5,,,,Moderately resistant,X,070,X,Moderately resistant,Intermediate (30-59 cm),,HONG KONG,,O. sativa,5,,4,A,,0,Indica,,HAM MOON,,X
617,48,IRRI,IRIS 313-9814,AMARELO::IRGC 9389-1-1,IRGC 9389,9389.0,AMARELO,,HUNGARY,Hungary,IRGC 121249,AMARELO::IRGC 9389-1,,,,Intermediate type,,,,X,,X,X,Light green,010,010,Moderately resistant,Green,Dark green,Pubescent,Susceptible,X,Green,,Erect (1),2,1,88,5,,X,,118,118,,HUNGARY,3,7,7,9,X,9,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,1,X,8,3,1,47,,,1,,2,042,X,1,Strong(no lodging),Whitish,,Green,19,Yes,,1,020,5,X,1,,,,Moderately resistant,X,010,X,Susceptible,Short (,,HUNGARY,,O. sativa,3,,2,A,,0,Japonica,,AMARELO,,X
618,616,IRRI,IRIS 313-10242,H 305-84::IRGC 116988-1-1,IRGC 116988,116988.0,H 305-84,,HUNGARY,Hungary,IRGC 127074,H 305-84::IRGC 116988-1,49738210.0,49738210.0,10.3,Temperate japonica,5/12/2005,CIAT-103,1.0,X,,020,080,Yellowish green,010,060,,Green,Dark green,Pubescent,,X,Light green,,Intermediate (3),X,X,67,7,,060,,97,97,,COLOMBIA,X,X,X,X,X,X,X,X,X,X,,,Yes,1,3,X,9,2,9,47,Horizontal(5),,9,,X,020,4,X,Very weak(all plants flat),Whitish,Tip round or truncate,Green,19,Yes,Green,9,000,X,1,1,,,,,X,X,3,,,,HUNGARY,,O. sativa,5,,X,A,,0,,,H 305-84,,X
618,616,IRRI,IRIS 313-10242,H 305-84::IRGC 116988-1-1,IRGC 116988,116988.0,H 305-84,,HUNGARY,Hungary,IRGC 127074,H 305-84::IRGC 116988-1,49738210.0,49738210.0,10.3,Temperate japonica,5/12/2005,CIAT-103,1.0,X,,020,080,Yellowish green,010,060,,Green,Dark green,Pubescent,,X,Light green,,Intermediate (3),X,X,67,7,,060,,97,97,,COLOMBIA,X,X,X,X,X,X,X,X,X,X,,,Yes,1,3,X,9,2,9,47,Horizontal(5),,9,,X,020,4,X,Very weak(all plants flat),Whitish,Tip round or truncate,Green,19,Yes,Green,9,000,X,1,1,,,,,X,X,3,,,,HUNGARY,,O. sativa,5,,X,A,,0,,,H 305-84,,X
619,586,IRRI,IRIS 313-9813,SZANISZLO 2::IRGC 9353-1-1,IRGC 9353,9353.0,SZANISZLO 2,,HUNGARY,Hungary,IRGC 125908,SZANISZLO 2::IRGC 9353-1,62634652.0,57571791.0,11.9,Temperate japonica,2/2/1984,,,X,,020,080,Light green,010,020,Moderately resistant,Green,Green,Glabrous,Susceptible,X,Light green,,Erect (1),3,2,83,3,,X,,113,113,,HUNGARY,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,7,2,1,47,Horizontal(5),71-90 cm,1,,2,020,5,2,Strong(no lodging),Whitish,2-Cleft,Light gold,19,Yes,Green,7,040,9,1,3,,,,Moderately resistant,X,010,2,Susceptible,Intermediate (30-59 cm),,HUNGARY,,O. sativa,3,Breeding and inbred line,3,A,,0,Javanica,,SZANISZLO 2,,X
621,137,IRRI,IRIS 313-9811,KOPANCSI KEREK::IRGC 9305-1-1,IRGC 9305,9305.0,KOPANCSI KEREK,,HUNGARY,Hungary,IRGC 125808,KOPANCSI KEREK::IRGC 9305-1,44341068.0,44341068.0,9.2,Tropical japonica,2/2/1984,,,X,,020,X,Light green,080,080,,Green,Dark green,Pubescent,,5,Light green,,Erect (1),2,1,70,5,,X,,100,100,,HUNGARY,X,X,X,X,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,0,1,X,9,3,1,47,Intermediate(3),51-70 cm,3,,2,020,5,1,Strong(no lodging),Whitish,2-Cleft,Green,19,Yes,,3,000,0,1,6,,,,,X,070,2,,Intermediate (30-59 cm),,HUNGARY,,O. sativa,3,,2,A,,0,Japonica,,KOPANCSI KEREK,,X
622,96,IRRI,IRIS 313-9880,PI 282203::IRGC 16292-1-1,IRGC 16292,16292.0,SZEGEDI SZAKALLAS 28,,HUNGARY,Hungary,IRGC 121471,PI 282203::IRGC 16292-1,,,,Tropical japonica,6/30/1972,PI 282203,1.0,X,,020,X,Light green,080,080,Susceptible,Green,Dark green,Pubescent,Susceptible,5,Light green,,Erect (1),2,1,72,5,,X,,102,102,,UNKNOWN,9,1,X,1,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,1,X,8,3,1,47,Erect(1),71-90 cm,5,,2,020,5,2,Strong(no lodging),Whitish,2-Cleft,Purple lines,19,Yes,,1,080,7,1,7,,,,Susceptible,X,010,2,Susceptible,Intermediate (30-59 cm),,HUNGARY,,O. sativa,3,Breeding and inbred line,3,A,,0,Japonica,,SZEGEDI SZAKALLAS 28,,X
623,108,IRRI,IRIS 313-8498,ARC 7091::IRGC 20491-1-1,IRGC 20491,20491.0,ARC 7091,,INDIA,India,IRGC 126176,ARC 7091::IRGC 20491-1,19370540.0,19370540.0,4.0,Aus/boro,12/1/1972,ARC 7091,1.0,X,,040,X,Light green,010,080,Susceptible,Green,Green,Pubescent,Moderately resistant,X,Green,,Intermediate (3),1,1,130,3,,X,,160,160,West Garo Hills,INDIA,1,1,X,5,X,9,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,5,X,8,2,9,25,,131-150 cm,1,,2,054,X,2,Very weak(all plants flat),Whitish,,Green,90,Yes,,9,000,0,X,5,,,Meghalaya,Susceptible,X,010,X,Moderately resistant,Intermediate (30-59 cm),,INDIA,,O. sativa,3,,4,A,Tura,100,Indica,,,,X
624,160,IRRI,IRIS 313-9516,NCS 840::IRGC 62530-1-1,IRGC 62530,62530.0,NCS840,,INDIA,India,IRGC 126251,NCS 840::IRGC 62530-1,22043544.0,22043544.0,4.6,Aus/boro,8/26/1982,,,X,,020,X,Light green,080,080,Susceptible,Purple,Green,Pubescent,,X,Light green,,Intermediate (3),1,1,94,3,,X,,124,124,,INDIA,X,X,X,X,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,5,9,8,3,3,21,Intermediate(4),91-110 cm,7,,2,100,2,2,Moderately strong(most plants leaning),Purple lines,2-Cleft,Purple lines,82,Yes,,3,020,1,1,6,,,,Susceptible,X,070,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,5,,3,A,,100,Indica,,NCS840,,X
625,112,IRRI,IRIS 313-9641,BEGUM::IRGC 33990-1-1,IRGC 33990,33990.0,BEGUM,,INDIA,India,IRGC 125602,BEGUM::IRGC 33990-1,28285754.0,28285754.0,5.9,Aus/boro,12/9/1975,KHUDWANI ACC. 75,1.0,X,,020,X,Purple,080,080,Susceptible,Light purple,Green,Pubescent,,X,Purple,,Open (5),1,1,76,5,,X,,106,106,,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,8,2,1,21,Intermediate(3),71-90 cm,3,,2,020,2,2,Strong(no lodging),Whitish,2-Cleft,Purple,82,Yes,,3,000,0,1,1,,,,Susceptible,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,1,,3,A,,0,Indica,,BEGUM,,X
626,919,IRRI,IRIS 313-11455,CIPPI::IRGC 52415-1,IRGC 52415,52415.0,CIPPI,,INDIA,India,IRGC 128268,CIPPI::IRGC 52415-1,45223292.0,45223292.0,9.4,Aus/boro,9/3/1979,,,X,,020,X,Light green,010,020,,Green,Green,Pubescent,,X,Light green,40,Intermediate (3),1,1,62,3,,X,,92,92,Banswara,INDIA,X,X,X,X,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,5,X,7,2,1,23,Intermediate(3),71-90 cm,1,,2,020,4,2,Strong(no lodging),Whitish,2-Cleft,Green,74,Yes,,3,000,0,1,9,,,Rajasthan,,X,070,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,5,,3,A,,100,Indica,,CIPPI,,X
627,939,IRRI,IRIS 313-11480,PR 106::IRGC 53418-1,IRGC 53418,53418.0,PR106,,INDIA,India,IRGC 127742,PR 106::IRGC 53418-1,46704322.0,46704322.0,9.7,Aus/boro,8/11/1978,,,X,,020,X,Light green,010,020,,Green,Dark green,Pubescent,,X,Light green,,Erect (1),4,2,95,1,,X,,125,125,Kapurthala,INDIA,1,3,X,7,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,9,2,1,31,Erect(1),51-70 cm,3,,2,020,2,2,Strong(no lodging),Whitish,2-Cleft,Green,75,Yes,Green,5,000,0,1,9,,IR 665-79-2-4,Punjab,,X,010,2,,Intermediate (30-59 cm),Moderately susceptible,INDIA,,O. sativa,1,Breeding and inbred line,3,A,,100,Intermediate(hybrid),,PR106,,X
628,950,IRRI,IRIS 313-11491,BIR BAHADUR::IRGC 53889-1,IRGC 53889,53889.0,BIR BAHADUR,,INDIA,India,IRGC 127230,BIR BAHADUR::IRGC 53889-1,53781906.0,49481467.0,10.3,Aus/boro,9/18/1980,,,X,,020,X,Light green,080,080,Susceptible,Green,Green,Pubescent,,X,Light green,26,Intermediate (3),1,1,100,3,Irrigated,X,,130,130,Bhojpur,INDIA,3,3,X,3,X,7,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,8,2,3,21,Intermediate(3),91-110 cm,3,,3,020,2,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Purple,82,Yes,,1,000,0,1,8,,,Bihar,Susceptible,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,3,,3,A,Charpokhari,90,Indica,,BIR BAHADUR,,X
629,915,IRRI,IRIS 313-11451,KALISAL::IRGC 52324-1,IRGC 52324,52324.0,KALISAL,,INDIA,India,IRGC 128330,KALISAL::IRGC 52324-1,53298182.0,53298182.0,11.1,Aus/boro,9/3/1979,,,X,,080,X,Light green,080,087,Resistant,Green,Green,Pubescent,,X,Light green,,Intermediate (3),1,2,123,3,,X,,153,153,Pune,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,8,2,5,18,Intermediate(4),111-130 cm,7,,3,100,4,2,Intermediate(most plants moderately lodged),Whitish,2-Cleft,Light gold,74,Yes,Green,1,080,1,1,9,,,Maharashtra,Resistant,X,010,2,,Intermediate (30-59 cm),Moderately susceptible,INDIA,,O. sativa,1,Landrace/Traditional cultivar,3,A,,45,Indica,,KALISAL,,X
630,914,IRRI,IRIS 313-11449,KODIA PHUL::IRGC 52168-1,IRGC 52168,52168.0,KODIA PHUL,,INDIA,India,IRGC 127526,KODIA PHUL::IRGC 52168-1,53730508.0,53730508.0,11.1,Aus/boro,7/24/1979,,,X,,020,X,Light green,010,010,Susceptible,Green,Light green,Pubescent,,X,Light green,,Erect (1),1,1,125,5,,X,,155,155,,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,3,X,7,2,3,26,Erect(2),111-130 cm,5,,2,042,4,1,Moderately strong(most plants leaning),Whitish,2-Cleft,Green,75,Yes,,3,020,9,1,5,,,Jeypore,Susceptible,X,010,2,,Intermediate (30-59 cm),Moderately susceptible,INDIA,,O. sativa,3,Landrace/Traditional cultivar,3,A,,74,Indica,,KODIA PHUL,,X
631,1035,IRRI,IRIS 313-11600,KOTODESHI::IRGC 60982-1,IRGC 60982,60982.0,KOTODESHI,,INDIA,India,IRGC 128353,KOTODESHI::IRGC 60982-1,53955808.0,53955808.0,11.2,Aus/boro,7/6/1982,RAIPUR K 778 II,1.0,X,,020,080,Light green,080,080,,Green,Dark green,Pubescent,,X,Light green,,Erect (1),1,1,78,1,,X,,108,108,Panna,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,7,3,3,24,Erect(1),91-110 cm,3,,3,054,4,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,80,Yes,Green,3,000,0,5,9,,,Madhya Pradesh,,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,3,,3,A,Pawai,100,Indica,,KOTODESHI,,X
632,1038,IRRI,IRIS 313-11603,PANDRI PAREWA::IRGC 61030-1,IRGC 61030,61030.0,PANDRI PAREWA,,INDIA,India,IRGC 128425,PANDRI PAREWA::IRGC 61030-1,55349092.0,55349092.0,11.5,Aus/boro,7/6/1982,RAIPUR P 404,1.0,X,,020,X,Light green,010,020,Susceptible,Green,Dark green,Pubescent,,X,Light green,,Intermediate (3),1,1,76,3,,X,,106,106,Raipur,INDIA,X,X,X,X,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,5,X,8,3,3,21,Intermediate(3),71-90 cm,5,,2,042,4,1,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,81,Yes,,7,020,5,1,5,,,Chhattisgarh,Susceptible,X,070,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,3,,2,A,Tilda,100,Indica,,PANDRI PAREWA,,X
633,1042,IRRI,IRIS 313-11616,UPRH 31::IRGC 61503-1,IRGC 61503,61503.0,UPRH31,,INDIA,India,IRGC 127878,UPRH 31::IRGC 61503-1,55443320.0,55443320.0,11.5,Aus/boro,11/24/1981,,,X,,080,X,Light green,080,087,Susceptible,Light purple,Purple blotch,Pubescent,,X,Light green,,Intermediate (3),3,1,88,5,,X,,118,118,,INDIA,X,X,X,X,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,5,9,7,3,3,27,Horizontal(5),111-130 cm,9,,2,090,2,2,Moderately strong(most plants leaning),Purple lines,2-Cleft,Purple,80,Yes,,1,000,0,1,7,,,Uttar Pradesh,Susceptible,X,070,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,1,Landrace/Traditional cultivar,4,A,,0,Javanica,,UPRH31,,X
634,920,IRRI,IRIS 313-11456,KOLAMBA::IRGC 52456-1,IRGC 52456,52456.0,KOLAMBA,,INDIA,India,IRGC 127528,KOLAMBA::IRGC 52456-1,56341708.0,56341708.0,11.7,Aus/boro,9/3/1979,,,X,,020,X,Light green,010,020,,Green,Green,Pubescent,,X,Light green,51,Intermediate (3),1,1,84,5,,X,,114,114,Banswara,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,9,2,1,23,Intermediate(3),91-110 cm,1,,2,054,4,2,Strong(no lodging),Whitish,2-Cleft,Green,74,Yes,,7,000,0,1,9,,,Rajasthan,,X,010,2,,Intermediate (30-59 cm),Moderately susceptible,INDIA,,O. sativa,3,,2,A,,100,Indica,,KOLAMBA,,X
635,918,IRRI,IRIS 313-11454,BARI SUTAR::IRGC 52410-1,IRGC 52410,52410.0,BARI SUTAR,,INDIA,India,IRGC 127211,BARI SUTAR::IRGC 52410-1,56627338.0,56627338.0,11.8,Aus/boro,9/3/1979,,,X,,020,020,Light green,010,020,,Green,Dark green,Pubescent,,X,Light green,114,Open (5),1,2,84,3,,X,,114,114,Banswara,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,9,2,3,23,Horizontal(5),71-90 cm,5,,2,020,2,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,74,Yes,Green,5,000,0,1,9,,,Rajasthan,,X,010,2,,Intermediate (30-59 cm),Moderately susceptible,INDIA,,O. sativa,3,Landrace/Traditional cultivar,2,A,,92,Indica,,BARI SUTAR,,X
636,88,IRRI,IRIS 313-9351,PARA NELLU::IRGC 50009-1-1,IRGC 50009,50009.0,PARA NELLU,,INDIA,India,IRGC 125868,PARA NELLU::IRGC 50009-1,57448590.0,57448590.0,11.9,Aus/boro,11/13/1978,T699,1.0,X,,020,X,Light green,080,080,Resistant,Green,Green,Pubescent,,X,Light green,,Spreading (7),1,2,78,5,,X,,108,108,Madurai,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,9,X,8,3,5,21,Horizontal(5),91-110 cm,1,,2,020,2,2,Intermediate(most plants moderately lodged),Whitish,2-Cleft,Light gold,82,Yes,,1,000,0,1,7,,,Tamil Nadu,Resistant,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,5,,3,A,,56,Indica,,PARA NELLU,,X
637,1045,IRRI,IRIS 313-11619,UPRH 166::IRGC 61615-1,IRGC 61615,61615.0,UPRH166,,INDIA,India,IRGC 127875,UPRH 166::IRGC 61615-1,58140728.0,58140728.0,12.1,Aus/boro,11/24/1981,,,X,,040,X,Light green,010,080,Susceptible,Green,Green,Pubescent,,X,Light green,,Open (5),1,2,88,3,,X,,118,118,,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,7,7,7,2,1,27,Intermediate(4),91-110 cm,7,,2,042,4,2,Strong(no lodging),Whitish,2-Cleft,Green,80,Yes,,3,000,0,1,5,,,Uttar Pradesh,Susceptible,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,3,Landrace/Traditional cultivar,3,A,,100,Indica,,UPRH166,,X
638,934,IRRI,IRIS 313-11476,KALIPINCH::IRGC 53271-1,IRGC 53271,53271.0,KALIPINCH,,INDIA,India,IRGC 128329,KALIPINCH::IRGC 53271-1,61807318.0,61807318.0,12.8,Aus/boro,8/11/1978,,,X,,020,X,Light green,010,080,,Green,Green,Pubescent,,X,Green,,Erect (1),1,1,56,5,,X,,86,86,,INDIA,1,3,X,3,X,7,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,7,2,3,21,Horizontal(5),51-70 cm,1,,2,020,4,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,73,Yes,,7,000,0,1,5,,,Gujarat,,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,3,,2,A,,86,Indica,,KALIPINCH,Rosvad,X
639,1032,IRRI,IRIS 313-11597,BHATA PYAGI::IRGC 60895-1,IRGC 60895,60895.0,BHATA PYAGI,,INDIA,India,IRGC 127222,BHATA PYAGI::IRGC 60895-1,63504352.0,63504352.0,13.2,Aus/boro,7/6/1982,RAIPUR B 1154,1.0,X,,020,X,Light green,080,080,Susceptible,Purple lines,Green,Pubescent,,X,Green,,Erect (2),1,1,82,3,,X,,112,112,Raipur,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,7,3,1,23,Intermediate(3),71-90 cm,3,,2,020,2,2,Strong(no lodging),Whitish,2-Cleft,Green,78,Yes,,5,000,0,1,5,,,Chhattisgarh,Susceptible,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,5,,4,A,Deobhog,100,Indica,,BHATA PYAGI,,X
640,1044,IRRI,IRIS 313-11618,UPRH 58::IRGC 61525-1,IRGC 61525,61525.0,UPRH58,,INDIA,India,IRGC 127879,UPRH 58::IRGC 61525-1,73867638.0,73867638.0,15.3,Aus/boro,11/24/1981,,,X,,020,X,Light green,010,020,Resistant,Green,Light green,Pubescent,,X,Light green,,Intermediate (3),1,2,94,5,,X,,124,124,,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,9,1,9,2,5,27,Drooping(9),111-130 cm,5,,2,042,2,2,Intermediate(most plants moderately lodged),Whitish,2-Cleft,Light gold,80,Yes,,1,020,1,1,5,,,Uttar Pradesh,Resistant,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,5,Landrace/Traditional cultivar,4,A,,75,Indica,,UPRH58,,X
641,1043,IRRI,IRIS 313-11617,UPRH 33::IRGC 61505-1,IRGC 61505,61505.0,UPRH33,,INDIA,India,IRGC 128495,UPRH 33::IRGC 61505-1,74188328.0,74188328.0,15.4,Aus/boro,11/24/1981,,,X,,080,X,Light green,080,087,Susceptible,Light purple,Purple margin,Pubescent,,X,Light green,,Intermediate (3),1,2,84,5,,X,,114,114,,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,4,3,7,3,5,27,Erect(1),111-130 cm,3,,2,042,4,2,Intermediate(most plants moderately lodged),Whitish,2-Cleft,Purple lines,80,Yes,,1,000,0,1,5,,,Uttar Pradesh,Susceptible,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,1,Landrace/Traditional cultivar,3,A,,92,Indica,,UPRH33,,X
642,1037,IRRI,IRIS 313-11602,MALCHI::IRGC 61004-1,IRGC 61004,61004.0,MALCHI,,INDIA,India,IRGC 127597,MALCHI::IRGC 61004-1,75944142.0,75944142.0,15.8,Aus/boro,7/6/1982,RAIPUR M 790,1.0,X,,020,X,Light green,080,080,Susceptible,Green,Dark green,Pubescent,,X,Light green,,Intermediate (3),1,1,76,5,,X,,106,106,Sagar,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,5,7,2,3,23,Intermediate(3),71-90 cm,3,,2,042,4,1,Moderately strong(most plants leaning),Whitish,2-Cleft,Purple lines,78,Yes,,3,000,0,1,5,,,Madhya Pradesh,Susceptible,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,3,,2,A,Rehli,100,Indica,,MALCHI,,X
643,924,IRRI,IRIS 313-11461,VAIKATHARYAN::IRGC 52805-1,IRGC 52805,52805.0,VAIKATHARYAN,,INDIA,India,IRGC 127881,VAIKATHARYAN::IRGC 52805-1,88000906.0,88000906.0,18.3,Aus/boro,9/3/1979,,,X,,020,X,Light green,080,080,,Green,Green,Pubescent,,X,Light green,,Erect (1),1,1,88,5,,X,,118,118,,INDIA,X,X,X,X,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,7,X,9,3,3,21,Horizontal(5),91-110 cm,3,,2,054,3,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,82,Yes,,1,000,0,1,9,,,,,X,070,2,,Intermediate (30-59 cm),Moderately susceptible,INDIA,,O. sativa,3,Landrace/Traditional cultivar,2,A,,100,Indica,,VAIKATHARYAN,,X
644,917,IRRI,IRIS 313-11453,ZINYA KOLAMBA::IRGC 52402-1,IRGC 52402,52402.0,ZINYA KOLAMBA,,INDIA,India,IRGC 127916,ZINYA KOLAMBA::IRGC 52402-1,143116548.0,134420637.0,27.9,Aus/boro,9/3/1979,,,X,,020,X,Light green,010,020,,Green,Dark green,Pubescent,,X,Green,,Intermediate (3),1,1,88,7,,X,,118,118,Jalgaon,INDIA,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,8,2,3,21,Horizontal(5),91-110 cm,1,,2,020,4,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,75,Yes,,3,000,0,1,9,,,Maharashtra,,X,010,2,,Intermediate (30-59 cm),,INDIA,,O. sativa,1,Landrace/Traditional cultivar,3,A,,82,Indica,,ZINYA KOLAMBA,,X
645,30,IRRI,IRIS 313-9137,ARC 10100::IRGC 20709-1-1,IRGC 20709,20709.0,ARC 10100,,INDIA,India,IRGC 121185,ARC 10100::IRGC 20709-1,,,,Aus/boro,12/1/1972,ARC 10100,1.0,X,,080,X,Light green,010,080,Susceptible,Purple lines,Green,Pubescent,Moderately resistant,X,Green,,Spreading (7),1,2,68,3,,X,,98,98,West Garo Hills,INDIA,1,1,X,3,5,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,5,9,7,2,7,25,,111-130 cm,1,,1,042,X,2,Weak(most plants nearly flat),Whitish,,Light gold,90,Yes,,7,000,0,X,5,,,Meghalaya,Susceptible,X,010,X,Moderately resistant,Intermediate (30-59 cm),,INDIA,,O. sativa,3,,3,A,Tura,65,Indica,,,,X
646,1905,IRRI,IRIS 313-10854,ARC 10145::IRGC 20744-1,IRGC 20744,20744.0,ARC 10145,,INDIA,India,IRGC 127127,ARC 10145::IRGC 20744-1,,,,Aus/boro,12/1/1972,ARC 10145,1.0,X,,020,X,Light green,010,010,Susceptible,Green,Green,Pubescent,Susceptible,X,Green,,Intermediate (3),1,2,70,5,,X,,100,100,West Garo Hills,INDIA,4,1,1,5,6,9,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,5,9,9,2,7,25,,131-150 cm,1,,2,020,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,7,000,0,X,5,,,Meghalaya,Susceptible,X,010,X,Susceptible,Intermediate (30-59 cm),,INDIA,,O. sativa,3,,3,A,Tura,89,Indica,,,,X
